domain,flag_description,dataset
extraclubmagazine.com,fake,https://bit.ly/2FFUCjF
federalistpress.com,bias,https://bit.ly/2FFUCjF
firearmscoalition.org,bias,https://bit.ly/2FFUCjF
freakoutnation.com,bias,https://bit.ly/2FFUCjF
freebeacon.com,bias,https://bit.ly/2FFUCjF
freedomsphoenix.com,conspiracy,https://bit.ly/2FFUCjF
freedomworldnews.com,bias,https://bit.ly/2FFUCjF
frontpagemag.com,bias,https://bit.ly/2FFUCjF
gulagbound.com,bias,https://bit.ly/2FFUCjF
heartland.org,bias,https://bit.ly/2FFUCjF
heresyblog.net,conspiracy,https://bit.ly/2FFUCjF
horowitzfreedomcenter.org,bias,https://bit.ly/2FFUCjF
ilovemyfreedom.org,clickbait,https://bit.ly/2FFUCjF
informetoday.com,bias,https://bit.ly/2FFUCjF
instaworldnews.com,bias,https://bit.ly/2FFUCjF
intrepidreport.com,bias,https://bit.ly/2FFUCjF
investmentwatchblog.com,fake,https://bit.ly/2FFUCjF
jamesrgrangerjr.com,bias,https://bit.ly/2FFUCjF
journal-neo.org,bias,https://bit.ly/2FFUCjF
katehon.com,bias,https://bit.ly/2FFUCjF
lewrockwell.com,bias,https://bit.ly/2FFUCjF
libertyunyielding.com,bias,https://bit.ly/2FFUCjF
lifeandabout.com,bias,https://bit.ly/2FFUCjF
lifenews.com,clickbait,https://bit.ly/2FFUCjF
liveactionnews.org,bias,https://bit.ly/2FFUCjF
makeamericagreattoday.com,fake,https://bit.ly/2FFUCjF
meanlefthook.com,clickbait,https://bit.ly/2FFUCjF
molonlabemedia.com,conspiracy,https://bit.ly/2FFUCjF
moonofalabama.org,bias,https://bit.ly/2FFUCjF
newslogue.com,fake,https://bit.ly/2FFUCjF
newsninja2012.com,bias,https://bit.ly/2FFUCjF
oathkeepers.org,bias,https://bit.ly/2FFUCjF
occupyliberals.com,clickbait,https://bit.ly/2FFUCjF
off-guardian.org,conspiracy,https://bit.ly/2FFUCjF
oftwominds.com,conspiracy,https://bit.ly/2FFUCjF
openmindmagazine.com,conspiracy,https://bit.ly/2FFUCjF
orientalreview.org,conspiracy,https://bit.ly/2FFUCjF
palmerreport.com,bias,https://bit.ly/2FFUCjF
patdollar.com,clickbait,https://bit.ly/2FFUCjF
patriotchronicle.com,clickbait,https://bit.ly/2FFUCjF
patriotnewsdaily.com,bias,https://bit.ly/2FFUCjF
patriotpost.us,bias,https://bit.ly/2FFUCjF
patriotrising.com,conspiracy,https://bit.ly/2FFUCjF
patriotupdate.com,conspiracy,https://bit.ly/2FFUCjF
paulcraigroberts.org,conspiracy,https://bit.ly/2FFUCjF
platosguns.com,conspiracy,https://bit.ly/2FFUCjF
politicalcult.com,conspiracy,https://bit.ly/2FFUCjF
pravda.ru,conspiracy,https://bit.ly/2FFUCjF
pravdareport.com,conspiracy,https://bit.ly/2FFUCjF
presstv.com,bias,https://bit.ly/2FFUCjF
presstv.ir,bias,https://bit.ly/2FFUCjF
progressivestoday.com,bias,https://bit.ly/2FFUCjF
projectveritas.com,bias,https://bit.ly/2FFUCjF
qpolitical.com,clickbait,https://bit.ly/2FFUCjF
readconservatives.news,fake,https://bit.ly/2FFUCjF
reagancoalition.com,fake,https://bit.ly/2FFUCjF
realtimepolitics.com,bias,https://bit.ly/2FFUCjF
redflagnews.com,conspiracy,https://bit.ly/2FFUCjF
redstatewatcher.com,clickbait,https://bit.ly/2FFUCjF
regated.com,bias,https://bit.ly/2FFUCjF
rightalert.com,bias,https://bit.ly/2FFUCjF
russia-insider.com,clickbait,https://bit.ly/2FFUCjF
sjlendman.blogspot.com,bias,https://bit.ly/2FFUCjF
sputniknews.com,fake,https://bit.ly/2FFUCjF
thefederalistpapers.org,conspiracy,https://bit.ly/2FFUCjF
thegatewaypundit.com,conspiracy,https://bit.ly/2FFUCjF
thenewamerican.com,bias,https://bit.ly/2FFUCjF
thenewsdoctors.com,bias,https://bit.ly/2FFUCjF
therealstrategy.com,conspiracy,https://bit.ly/2FFUCjF
thewatchtowers.com,conspiracy,https://bit.ly/2FFUCjF
truepundit.com,clickbait,https://bit.ly/2FFUCjF
truthandaction.org,conspiracy,https://bit.ly/2FFUCjF
truthkings.com,conspiracy,https://bit.ly/2FFUCjF
truthrevolt.org,bias,https://bit.ly/2FFUCjF
unclesamsmisguidedchildren.com,bias,https://bit.ly/2FFUCjF
unz.com,bias,https://bit.ly/2FFUCjF
usapoliticstoday.com,bias,https://bit.ly/2FFUCjF
usawatchdog.com,bias,https://bit.ly/2FFUCjF
uschronicle.com,conspiracy,https://bit.ly/2FFUCjF
vdare.com,bias,https://bit.ly/2FFUCjF
veteranstoday.com,bias,https://bit.ly/2FFUCjF
wearechange.org,conspiracy,https://bit.ly/2FFUCjF
westernjournalism.com,clickbait,https://bit.ly/2FFUCjF
winningdemocrats.com,bias,https://bit.ly/2FFUCjF
wnd.com,clickbait,https://bit.ly/2FFUCjF
worldnewspolitics.com,bias,https://bit.ly/2FFUCjF
youngcons.com,bias,https://bit.ly/2FFUCjF
addictinginfo.org,clickbait,https://bit.ly/2FFUCjF
amusmentic.com,clickbait,https://bit.ly/2FFUCjF
automotostar.com,clickbait,https://bit.ly/2FFUCjF
bients.com,clickbait,https://bit.ly/2FFUCjF
bigbluevision.org,clickbait,https://bit.ly/2FFUCjF
bipartisanreport.com,clickbait,https://bit.ly/2FFUCjF
blacklistednews.com,clickbait,https://bit.ly/2FFUCjF
bluenationreview.com,clickbait,https://bit.ly/2FFUCjF
breaking911.com,clickbait,https://bit.ly/2FFUCjF
educateinspirechange.org,clickbait,https://bit.ly/2rEc4uV
elitereaders.com,clickbait,https://bit.ly/2FFUCjF
heatst.com,clickbait,https://bit.ly/2FFUCjF
indiaarising.com,clickbait,https://bit.ly/2FFUCjF
liberalamerica.org,clickbait,https://bit.ly/2FFUCjF
libertywritersnews.com,clickbait,https://bit.ly/2FFUCjF
lifesitenews.com,clickbait,https://bit.ly/2FFUCjF
lifezette.com,clickbait,https://bit.ly/2FFUCjF
livevote.com,clickbait,https://bit.ly/2FFUCjF
lovethispic.com,clickbait,https://bit.ly/2FFUCjF
notallowedto.com,fake,https://bit.ly/2FFUCjF
other98.com,clickbait,https://bit.ly/2FFUCjF
politicususa.com,clickbait,https://bit.ly/2FFUCjF
remedydaily.com,clickbait,https://bit.ly/2FFUCjF
topinfopost.com,conspiracy,https://bit.ly/2FFUCjF
trueactivist.com,clickbait,https://bit.ly/2FFUCjF
twitchy.com,clickbait,https://bit.ly/2FFUCjF
uslifetoday.com,clickbait,https://bit.ly/2FFUCjF
usuncut.com,clickbait,https://bit.ly/2FFUCjF
viraltube.nl,clickbait,https://bit.ly/2FFUCjF
yournationnews.com,clickbait,https://bit.ly/2FFUCjF
yournewswire.com,clickbait,https://bit.ly/2FFUCjF
21stcenturywire.com,conspiracy,https://bit.ly/2FFUCjF
82.221.129.208,fake,https://bit.ly/2FFUCjF
abeldanger.net,conspiracy,https://bit.ly/2FFUCjF
abovetopsecret.com,conspiracy,https://bit.ly/2FFUCjF
activistpost.com,conspiracy,https://bit.ly/2FFUCjF
alt-market.com,conspiracy,https://bit.ly/2FFUCjF
americanfreepress.net,conspiracy,https://bit.ly/2FFUCjF
americanreviewer.com,conspiracy,https://bit.ly/2FFUCjF
angrypatriotmovement.com,fake,https://bit.ly/2FFUCjF
assassinationscience.com,conspiracy,https://bit.ly/2FFUCjF
awarenessact.com,conspiracy,https://bit.ly/2FFUCjF
awdnews.com,conspiracy,https://bit.ly/2FFUCjF
bb4sp.com,fake,https://bit.ly/2FFUCjF
blackgenocide.org,conspiracy,https://bit.ly/2FFUCjF
bullionbullscanada.com,conspiracy,https://bit.ly/2FFUCjF
canadafreepress.com,conspiracy,https://bit.ly/2FFUCjF
concisepolitics.com,conspiracy,https://bit.ly/2FFUCjF
conservativerefocus.com,conspiracy,https://bit.ly/2FFUCjF
conspiracyplanet.com,conspiracy,https://bit.ly/2FFUCjF
conspiracywire.com,conspiracy,https://bit.ly/2FFUCjF
corbettreport.com,conspiracy,https://bit.ly/2FFUCjF
countdowntozerotime.com,conspiracy,https://bit.ly/2FFUCjF
counterpsyops.com,conspiracy,https://bit.ly/2FFUCjF
cryptogon.com,conspiracy,https://bit.ly/2FFUCjF
dailyoccupation.com,conspiracy,https://bit.ly/2FFUCjF
dataasylum.com,conspiracy,https://bit.ly/2FFUCjF
davidwolfe.com,conspiracy,https://bit.ly/2FFUCjF
dcclothesline.com,conspiracy,https://bit.ly/2FFUCjF
disclosuremedia.net,conspiracy,https://bit.ly/2FFUCjF
dont-tread-on.me,conspiracy,https://bit.ly/2FFUCjF
dutchsinse.com,conspiracy,https://bit.ly/2FFUCjF
ebolahoax.com,conspiracy,https://bit.ly/2FFUCjF
educate-yourself.org,conspiracy,https://bit.ly/2FFUCjF
electionnightgatekeepers.com,conspiracy,https://bit.ly/2FFUCjF
endoftheamericandream.com,conspiracy,https://bit.ly/2FFUCjF
expose1933.com,conspiracy,https://bit.ly/2FFUCjF
eyeopening.info,conspiracy,https://bit.ly/2FFUCjF
familysecuritymatters.org,conspiracy,https://bit.ly/2FFUCjF
fellowshipoftheminds.com,conspiracy,https://bit.ly/2FFUCjF
fourwinds10.net,conspiracy,https://bit.ly/2FFUCjF
fprnradio.com,fake,https://bit.ly/2FFUCjF
freedomforceinternational.com,conspiracy,https://bit.ly/2FFUCjF
freedomoutpost.com,conspiracy,https://bit.ly/2FFUCjF
fromthetrenchesworldreport.com,conspiracy,https://bit.ly/2FFUCjF
gaia.com,conspiracy,https://bit.ly/2FFUCjF
gangstergovernment.com,conspiracy,https://bit.ly/2FFUCjF
globalresearch.ca,conspiracy,https://bit.ly/2FFUCjF
godlikeproductions.com,conspiracy,https://bit.ly/2FFUCjF
govtslaves.info,conspiracy,https://bit.ly/2FFUCjF
greanvillepost.com,conspiracy,https://bit.ly/2FFUCjF
hangthebankers.com,conspiracy,https://bit.ly/2FFUCjF
henrymakow.com,conspiracy,https://bit.ly/2FFUCjF
humansarefree.com,conspiracy,https://bit.ly/2FFUCjF
illuminati-news.com,conspiracy,https://bit.ly/2FFUCjF
infiniteunknown.net,conspiracy,https://bit.ly/2FFUCjF
informationclearinghouse.info,conspiracy,https://bit.ly/2FFUCjF
infowars.com,conspiracy,https://bit.ly/2FFUCjF
intellihub.com,conspiracy,https://bit.ly/2FFUCjF
investmentresearchdynamics.com,conspiracy,https://bit.ly/2FFUCjF
itccs.org,conspiracy,https://bit.ly/2FFUCjF
jesus-is-savior.com,conspiracy,https://bit.ly/2FFUCjF
jihadwatch.org,conspiracy,https://bit.ly/2FFUCjF
jonesreport.com,conspiracy,https://bit.ly/2FFUCjF
knowledgeoftoday.org,conspiracy,https://bit.ly/2FFUCjF
libertymovementradio.com,conspiracy,https://bit.ly/2FFUCjF
libertytalk.fm,conspiracy,https://bit.ly/2FFUCjF
libertyvideos.org,conspiracy,https://bit.ly/2FFUCjF
militianews.com,conspiracy,https://bit.ly/2FFUCjF
nasamoonhoax.com,conspiracy,https://bit.ly/2FFUCjF
nationalufocenter.com,conspiracy,https://bit.ly/2FFUCjF
nationindistress.weebly.com,conspiracy,https://bit.ly/2FFUCjF
newstarget.com,conspiracy,https://bit.ly/2FFUCjF
nodisinfo.com,conspiracy,https://bit.ly/2FFUCjF
nomorefakenews.com,conspiracy,https://bit.ly/2FFUCjF
nowtheendbegins.com,conspiracy,https://bit.ly/2FFUCjF
offgridsurvival.com,conspiracy,https://bit.ly/2FFUCjF
oilgeopolitics.net,conspiracy,https://bit.ly/2FFUCjF
pamelageller.com,fake,https://bit.ly/2FFUCjF
politicalblindspot.com,conspiracy,https://bit.ly/2FFUCjF
prepperwebsite.com,fake,https://bit.ly/2FFUCjF
prisonplanet.com,conspiracy,https://bit.ly/2FFUCjF
prisonplanet.tv,conspiracy,https://bit.ly/2FFUCjF
rense.com,conspiracy,https://bit.ly/2FFUCjF
rumormillnews.com,conspiracy,https://bit.ly/2FFUCjF
secretsofthefed.com,conspiracy,https://bit.ly/2FFUCjF
sentinelblog.com,conspiracy,https://bit.ly/2FFUCjF
sheepkillers.com,conspiracy,https://bit.ly/2FFUCjF
shoebat.com,conspiracy,https://bit.ly/2FFUCjF
silver-coin-investor. com,conspiracy,https://bit.ly/2FFUCjF
silverbearcafe.com,conspiracy,https://bit.ly/2FFUCjF
silverdoctors.com,conspiracy,https://bit.ly/2FFUCjF
silverstealers.net,conspiracy,https://bit.ly/2FFUCjF
skeptiko.com,conspiracy,https://bit.ly/2FFUCjF
sonsoflibertyradio.com,conspiracy,https://bit.ly/2FFUCjF
thedailysheeple.com,conspiracy,https://bit.ly/2FFUCjF
theeconomiccollapseblog.com,conspiracy,https://bit.ly/2FFUCjF
theeventchronicle.com,conspiracy,https://bit.ly/2FFUCjF
theextinctionprotocol.com,conspiracy,https://bit.ly/2FFUCjF
theforbiddenknowledge.com,conspiracy,https://bit.ly/2FFUCjF
thelibertybeacon.com,conspiracy,https://bit.ly/2FFUCjF
themindunleashed.com,conspiracy,https://bit.ly/2FFUCjF
themindunleashed.org,conspiracy,https://bit.ly/2FFUCjF
thephaser.com,conspiracy,https://bit.ly/2FFUCjF
truthbroadcastnetwork.com,conspiracy,https://bit.ly/2FFUCjF
truthfrequencyradio.com,conspiracy,https://bit.ly/2FFUCjF
ufoholic.com,conspiracy,https://bit.ly/2FFUCjF
wakeupthesheep.com,conspiracy,https://bit.ly/2FFUCjF
wakingupwisconsin.com,conspiracy,https://bit.ly/2FFUCjF
weshapelife.org,conspiracy,https://bit.ly/2FFUCjF
whatdoesitmean.com,conspiracy,https://bit.ly/2FFUCjF
whatreallyhappened.com,conspiracy,https://bit.ly/2FFUCjF
whowhatwhy.org,conspiracy,https://bit.ly/2FFUCjF
wikispooks.com,conspiracy,https://bit.ly/2FFUCjF
willyloman.wordpress.com,conspiracy,https://bit.ly/2FFUCjF
worldtruth.tv,conspiracy,https://bit.ly/2FFUCjF
x22report.com,conspiracy,https://bit.ly/2FFUCjF
zerohedge.com,conspiracy,https://bit.ly/2FFUCjF
zootfeed.com,conspiracy,https://bit.ly/2FFUCjF
24newsflash.com,fake,https://bit.ly/2FFUCjF
70news.wordpress.com,fake,https://bit.ly/2FFUCjF
abcnews.com.co,fake,https://bit.ly/2FFUCjF
abcnewsgo.co,fake,https://bit.ly/2FFUCjF
alternativemediasyndicate.com,fake,https://bit.ly/2FFUCjF
americannews.com,fake,https://bit.ly/2FFUCjF
americanoverlook.com,fake,https://bit.ly/2FFUCjF
beforeitsnews.com,fake,https://bit.ly/2FFUCjF
bighairynews.com,fake,https://bit.ly/2FFUCjF
bostonleader.com,fake,https://bit.ly/2FFUCjF
buzzfeedusa.com,fake,https://bit.ly/2FFUCjF
cap-news.com,fake,https://bit.ly/2FFUCjF
cbsnews.com.co,fake,https://bit.ly/2FFUCjF
channel-7-news.com,fake,https://bit.ly/2FFUCjF
cityworldnews.com,fake,https://bit.ly/2FFUCjF
civictribune.com,fake,https://bit.ly/2FFUCjF
conservativebyte.com,fake,https://bit.ly/2FFUCjF
conservativedailypost.com,fake,https://bit.ly/2FFUCjF
conservativefighters.com,fake,https://bit.ly/2FFUCjF
conservativeinfidel.com,fake,https://bit.ly/2FFUCjF
dailybuzzlive.com,fake,https://bit.ly/2FFUCjF
dailyheadlines.com,fake,https://bit.ly/2FFUCjF
dailyheadlines.net,fake,https://bit.ly/2FFUCjF
dcgazette.com,fake,https://bit.ly/2FFUCjF
denverguardian.com,fake,https://bit.ly/2FFUCjF
departed.co,fake,https://bit.ly/2FFUCjF
donaldtrumpnews.co,fake,https://bit.ly/2FFUCjF
drudgereport.com.co,fake,https://bit.ly/2FFUCjF
embols.com,fake,https://bit.ly/2FFUCjF
enabon.com,fake,https://bit.ly/2FFUCjF
enduringvision.com,fake,https://bit.ly/2FFUCjF
goneleft.com,fake,https://bit.ly/2FFUCjF
gopthedailydose.com,fake,https://bit.ly/2FFUCjF
immediatesafety.org,fake,https://bit.ly/2FFUCjF
infostormer.com,fake,https://bit.ly/2FFUCjF
intrendtoday.com,fake,https://bit.ly/2FFUCjF
itaglive.com,fake,https://bit.ly/2FFUCjF
itmakessenseblog.com,fake,https://bit.ly/2FFUCjF
iwanttoexplore.com,fake,https://bit.ly/2FFUCjF
krbcnews.com,fake,https://bit.ly/2FFUCjF
libertyblitzkrieg.com,fake,https://bit.ly/2FFUCjF
maganews.co,fake,https://bit.ly/2FFUCjF
mediamass.net,fake,https://bit.ly/2FFUCjF
megynkelly.us,fake,https://bit.ly/2FFUCjF
